<Sentence id='2'>
1	yahI	DEM	<fs af='yaha,pn,m,sg,3,d,,' drel='nmod__adj:vajaha' name='yahI' chunkType='child:NP' posn='10'>
2	vajaha	NN	<fs af='vajaha,n,f,sg,3,d,0,0' drel='k1:hE' name='vajaha' chunkId='NP' chunkType='head:NP' posn='20'>
3	hE	VM	<fs af='hE,v,any,sg,3,,hE,hE' name='hE' chunkId='VGF' chunkType='head:VGF' stype='declarative' voicetype='active' posn='30'>
4	ki	CC	<fs af='ki,avy,,,,,,' drel='rs:vajaha' name='ki' chunkId='CCP' chunkType='head:CCP' posn='40'>
5	jEsalamera	NNP	<fs af='jEsalamera,n,m,sg,3,o,0_ko,0' drel='k1:jAnA' vpos='vib_2' name='jEsalamera' chunkId='NP2' chunkType='head:NP2' posn='50'>
6	ko	PSP	<fs af='ko,psp,,,,,,' drel='lwg__psp:jEsalamera' name='ko' chunkType='child:NP2' posn='60'>
7	goldana	NNPC	<fs af='goldana,adj,any,any,,o,,' drel='pof__cn:sitI' name='goldana' chunkType='child:NP3' posn='70'>
8	sitI	NNP	<fs af='sitI,n,f,sg,3,o,0_kA,0' drel='r6:nAma' vpos='vib_3' name='sitI' chunkId='NP3' chunkType='head:NP3' posn='80'>
9	ke	PSP	<fs af='kA,psp,m,sg,,o,,' drel='lwg__psp:sitI' name='ke' chunkType='child:NP3' posn='90'>
10	nAma	NN	<fs af='nAma,n,m,sg,3,o,0_se,0' drel='k1s:jAnA' vpos='vib_2_RP' name='nAma' chunkId='NP4' chunkType='head:NP4' posn='100'>
11	se	PSP	<fs af='se,psp,,,,,,' drel='lwg__psp:nAma' name='se' chunkType='child:NP4' posn='110'>
12	BI	RP	<fs af='BI,avy,,,,,,' drel='lwg__rp:nAma' name='BI' chunkType='child:NP4' posn='120'>
13	jAnA	VM	<fs af='jAna,v,m,sg,3,,yA_jA+wA_hE,yA' drel='ccof:ki' vpos='tam_2_3' name='jAnA' chunkId='VGF2' chunkType='head:VGF2' stype='declarative' voicetype='active' posn='130'>
14	jAwA	VAUX	<fs af='jA,v,m,sg,any,,wA,wA' drel='lwg__vaux:jAnA' name='jAwA' chunkType='child:VGF2' posn='140'>
15	hE	VAUX	<fs af='hE,v,any,sg,3,,hE,hE' drel='lwg__vaux_cont:jAwA' name='hE2' chunkType='child:VGF2' posn='150'>
16	.	SYM	<fs af='.,punc,,,,,,' drel='rsym:hE' name='.' chunkId='BLK' chunkType='head:BLK' posn='160'>
</Sentence>

<Sentence id='4'>
1	Sahara	NN	<fs af='Sahara,n,m,sg,3,d,0,0' drel='k1:PElA' name='Sahara' chunkId='NP' chunkType='head:NP' posn='10'>
2	iwane	QF	<fs af='iwanA,adj,m,sg,,o,,' drel='nmod__adj:kRewra' name='iwane' chunkType='child:NP2' posn='20'>
3	Cote	JJ	<fs af='CotA,adj,m,sg,,o,,' drel='nmod__adj:kRewra' name='Cote' chunkType='child:NP2' posn='30'>
4	kRewra	NN	<fs af='kRewra,n,m,sg,3,o,0_meM,0' drel='k7p:PElA' vpos='vib_4' name='kRewra' chunkId='NP2' chunkType='head:NP2' posn='40'>
5	meM	PSP	<fs af='meM,psp,,,,,,' drel='lwg__psp:kRewra' name='meM' chunkType='child:NP2' posn='50'>
6	PElA	VM	<fs af='PEla,v,m,sg,3,,yA_hE,yA' vpos='tam_2' name='PElA' chunkId='VGF' chunkType='head:VGF' stype='declarative' voicetype='active' posn='60'>
7	hE	VAUX	<fs af='hE,v,any,sg,3,,hE,hE' drel='lwg__vaux:PElA' name='hE' chunkType='child:VGF' posn='70'>
8	ki	CC	<fs af='ki,avy,,,,,,' drel='rs:kRewra' name='ki' chunkId='CCP' chunkType='head:CCP' posn='80'>
9	sElAnI	NN	<fs af='sElAnI,n,m,pl,3,d,0,0' drel='k1:nihAra' name='sElAnI' chunkId='NP3' chunkType='head:NP3' posn='90'>
10	yahAz	PRP	<fs af='yahAz,pn,,,,d,,' drel='k7p:GUmawe' name='yahAz' chunkId='NP4' chunkType='head:NP4' posn='100'>
11	pExala	JJ	<fs af='pExala,adj,any,any,,,,' drel='pof:GUmawe' name='pExala' chunkId='JJP' chunkType='head:JJP' posn='110'>
12	GUmawe	VM	<fs af='GUma,v,m,pl,any,,wA_ho+yA,wA' drel='vmod:nihAra' vpos='tam_2' name='GUmawe' chunkId='VGNF' chunkType='head:VGNF' posn='120'>
13	hue	VAUX	<fs af='ho,v,m,pl,any,,yA,yA' drel='lwg__vaux:GUmawe' name='hue' chunkType='child:VGNF' posn='130'>
14	maruBUmi	NN	<fs af='maruBUmi,n,f,sg,3,o,0_kA,0' drel='r6:mukuta' vpos='vib_2' name='maruBUmi' chunkId='NP5' chunkType='head:NP5' posn='140'>
15	ke	PSP	<fs af='kA,psp,m,sg,,o,,' drel='lwg__psp:maruBUmi' name='ke' chunkType='child:NP5' posn='150'>
16	isa	DEM	<fs af='yaha,pn,any,sg,3,o,,' drel='nmod__adj:mukuta' name='isa' chunkType='child:NP6' posn='160'>
17	sunahare	JJ	<fs af='sunaharA,adj,m,sg,,o,,' drel='nmod__adj:mukuta' name='sunahare' chunkType='child:NP6' posn='170'>
18	mukuta	NN	<fs af='mukuta,n,m,sg,3,o,0_ko,0' drel='k2:nihAra' vpos='vib_4' name='mukuta' chunkId='NP6' chunkType='head:NP6' posn='180'>
19	ko	PSP	<fs af='ko,psp,,,,,,' drel='lwg__psp:mukuta' name='ko' chunkType='child:NP6' posn='190'>
20	nihAra	VM	<fs af='nihAra,v,m,pl,3,,0_saka+wA_hE,0' drel='ccof:ki' vpos='tam_2_3' name='nihAra' chunkId='VGF2' chunkType='head:VGF2' stype='declarative' voicetype='active' posn='200'>
21	sakawe	VAUX	<fs af='saka,v,m,pl,any,,wA,wA' drel='lwg__vaux:nihAra' name='sakawe' chunkType='child:VGF2' posn='210'>
22	hEM	VAUX	<fs af='hE,v,any,pl,3,,hE,hE' drel='lwg__vaux_cont:sakawe' name='hEM' chunkType='child:VGF2' posn='220'>
23	.	SYM	<fs af='.,punc,,,,,,' drel='rsym:PElA' name='.' chunkId='BLK' chunkType='head:BLK' posn='230'>
</Sentence>

<Sentence id='5'>
1	mAnA	VM	<fs af='mAna,v,m,sg,3,,yA_jA+wA_hE,yA' vpos='tam_2_3' name='mAnA' chunkId='VGF' chunkType='head:VGF' stype='declarative' voicetype='active' posn='10'>
2	jAwA	VAUX	<fs af='jA,v,m,sg,any,,wA,wA' drel='lwg__vaux:mAnA' name='jAwA' chunkType='child:VGF' posn='20'>
3	hE	VAUX	<fs af='hE,v,any,sg,3,,hE,hE' drel='lwg__vaux_cont:jAwA' name='hE' chunkType='child:VGF' posn='30'>
4	ki	CC	<fs af='ki,avy,,,,,,' drel='k1:mAnA' name='ki' chunkId='CCP' chunkType='head:CCP' posn='40'>
5	jEsalamera	NNP	<fs af='jEsalamera,n,m,sg,3,o,0_kA,0' drel='r6-k2:sWApanA' vpos='vib_2' name='jEsalamera' chunkId='NP' chunkType='head:NP' posn='50'>
6	kI	PSP	<fs af='kA,psp,f,sg,,d,,' drel='lwg__psp:jEsalamera' name='kI' chunkType='child:NP' posn='60'>
7	sWApanA	NN	<fs af='sWApanA,n,f,sg,3,d,0,0' drel='pof:kI2' name='sWApanA' chunkId='NP2' chunkType='head:NP2' posn='70'>
8	BAtI	JJ	<fs af='BAtI,adj,any,any,,o,,' drel='nmod__adj:rAjapUwa' name='BAtI' chunkType='child:NP3' posn='80'>
9	rAjapUwa	NN	<fs af='rAjapUwa,n,m,sg,3,o,0,0' drel='nmod:jEsala' name='rAjapUwa' chunkId='NP3' chunkType='head:NP3' posn='90'>
10	,	SYM	<fs af='COMMA,punc,,,,,,' drel='rsym:rAjapUwa' name=',' chunkType='child:NP3' posn='100'>
