<Sentence id='1'>
1	वाघा	NNP	<fs af='वाघा,n,m,sg,3,d,0,0' drel='nmod__adj:बॉर्डर' name='वाघा' chunkType='child:NP' posn='10'>
2	बॉर्डर	NN	<fs af='बॉर्डर,n,m,sg,3,d,0,0' drel='k7p:करते' name='बॉर्डर' chunkId='NP' chunkType='head:NP' posn='20'>
3	पार	NN	<fs af='पार,n,m,sg,3,d,0,0' drel='pof:करते' name='पार' chunkId='NP2' chunkType='head:NP2' posn='30'>
4	करते	VM	<fs af='कर,v,m,sg,any,,ता,wA' drel='vmod:मिला' name='करते' chunkId='VGNF' chunkType='head:VGNF' posn='40'>
5	ही	RP	<fs af='ही,avy,,,,,,' drel='lwg__rp:करते' name='ही' chunkType='child:VGNF' posn='50'>
6	इतना	QF	<fs af='इतना,avy,m,sg,,d,,' drel='nmod__adj:प्यार' name='इतना' chunkType='child:NP3' posn='60'>
7	प्यार	NN	<fs af='प्यार,n,m,sg,3,d,0,0' drel='ccof:और' name='प्यार' chunkId='NP3' chunkType='head:NP3' posn='70'>
8	और	CC	<fs af='और,avy,,,,,,' drel='k1:मिला' name='और' chunkId='CCP' chunkType='head:CCP' posn='80'>
9	सम्मान	NN	<fs af='सम्मान,n,m,sg,3,d,0,0' drel='ccof:और' name='सम्मान' chunkId='NP4' chunkType='head:NP4' posn='90'>
10	मिला	VM	<fs af='मिल,v,m,sg,any,,या,yA' name='मिला' chunkId='VGF' chunkType='head:VGF' stype='declarative' voicetype='active' posn='100'>
11	कि	CC	<fs af='कि,avy,,,,,,' drel='k2:मिला' name='कि' chunkId='CCP2' chunkType='head:CCP2' posn='110'>
12	बचपन	NN	<fs af='बचपन,n,m,sg,3,o,0_में,0' drel='k7:बताईं' vpos='vib_2' name='बचपन' chunkId='NP5' chunkType='head:NP5' posn='120'>
13	में	PSP	<fs af='में,psp,,,,,,' drel='lwg__psp:बचपन' name='में' chunkType='child:NP5' posn='130'>
14	भारत	NNP	<fs af='भारत,n,m,sg,3,o,0_के_बारे_में,0' drel='k7:बताईं' vpos='vib_2_3_4' name='भारत' chunkId='NP6' chunkType='head:NP6' posn='140'>
15	के	PSP	<fs af='के,psp,,,,,,' drel='lwg__psp:भारत' name='के' chunkType='child:NP6' posn='150'>
16	बारे	PSP	<fs af='बारे,psp,,,,,,' drel='lwg__psp:भारत' name='बारे' chunkType='child:NP6' posn='160'>
17	में	PSP	<fs af='में,psp,,,,,,' drel='lwg__psp:भारत' name='में2' chunkType='child:NP6' posn='170'>
18	बताईं	VM	<fs af='बता,v,f,pl,any,,या_जा+या१,yA' drel='ccof:और2' vpos='tam_2' name='बताईं' chunkId='VGNF2' chunkType='head:VGNF2' posn='180'>
19	गईं	VAUX	<fs af='जा,v,f,pl,any,,या१,yA1' drel='lwg__vaux:बताईं' name='गईं' chunkType='child:VGNF2' posn='190'>
20	और	CC	<fs af='और,avy,,,,,,' drel='nmod__k2inv:बातें' name='और2' chunkId='CCP3' chunkType='head:CCP3' posn='200'>
21	पढ़ाई	VM	<fs af='पढ़ा,v,f,pl,any,,या_जा+या१,yA' drel='ccof:और2' vpos='tam_2' name='पढ़ाई' chunkId='VGNF3' chunkType='head:VGNF3' posn='210'>
22	गई	VAUX	<fs af='जा,v,f,pl,any,,या१,yA1' drel='lwg__vaux:पढ़ाई' name='गई' chunkType='child:VGNF3' posn='220'>
23	सारी	QF	<fs af='सारा,avy,f,pl,,d,,' drel='nmod__adj:बातें' name='सारी' chunkType='child:NP7' posn='230'>
24	बातें	NN	<fs af='बात,n,f,pl,3,d,0,0' drel='k1:लगने' name='बातें' chunkId='NP7' chunkType='head:NP7' posn='240'>
25	बेमानी	JJ	<fs af='बेमानी,adj,any,any,,,,' drel='pof:लगने' name='बेमानी' chunkId='JJP' chunkType='head:JJP' posn='250'>
26	लगने	VM	<fs af='लग,v,any,pl,any,,ना_लग+या,nA' drel='ccof:कि' vpos='tam_2' name='लगने' chunkId='VGF2' chunkType='head:VGF2' stype='declarative' voicetype='active' posn='260'>
27	लगीं	VAUX	<fs af='लग,v,f,pl,any,,या,yA' drel='lwg__vaux:लगने' name='लगीं' chunkType='child:VGF2' posn='270'>
28	।	SYM	<fs af='।,punc,,,,,,' drel='rsym:मिला' name='।' chunkId='BLK' chunkType='head:BLK' posn='280'>
</Sentence>

<Sentence id='3'>
1	सभी	PRP	<fs af='सब,pn,any,pl,any,d,0,0' drel='k1:बिछुड़े' name='सभी' chunkId='NP' chunkType='head:NP' posn='10'>
2	बिछुड़े	VM	<fs af='बिछुड,v,m,sg,3,,या,yA' drel='nmod__k2inv:सदस्य' name='बिछुड़े' chunkId='VGNF' chunkType='head:VGNF' posn='20'>
3	परिवार	NN	<fs af='परिवार,n,m,sg,3,o,0_का,0' drel='r6:सदस्य' vpos='vib_2_RP' name='परिवार' chunkId='NP2' chunkType='head:NP2' posn='30'>
4	के	PSP	<fs af='का,psp,m,pl,,d,,' drel='lwg__psp:परिवार' name='के' chunkType='child:NP2' posn='40'>
5	ही	RP	<fs af='ही,avy,,,,,,' drel='lwg__rp:परिवार' name='ही' chunkType='child:NP2' posn='50'>
6	सदस्य	NN	<fs af='सदस्य,n,m,pl,3,d,0,0' drel='k2:लग' name='सदस्य' chunkId='NP3' chunkType='head:NP3' posn='60'>
7	लग	VM	<fs af='लग,v,m,pl,3,,0_रह+या_है,0' vpos='tam_2_3' name='लग' chunkId='VGF' chunkType='head:VGF' stype='declarative' voicetype='active' posn='70'>
8	रहे	VAUX	<fs af='रह,v,m,pl,any,,या,yA' drel='lwg__vaux:लग' name='रहे' chunkType='child:VGF' posn='80'>
9	हैं	VAUX	<fs af='है,v,any,pl,3,,है,hE' drel='lwg__vaux_cont:रहे' name='हैं' chunkType='child:VGF' posn='90'>
10	।	SYM	<fs af='।,punc,,,,,,' drel='rsym:लग' name='।' chunkId='BLK' chunkType='head:BLK' posn='100'>
</Sentence>

<Sentence id='4'>
1	यह	PRP	<fs af='यह,pn,any,sg,3,d,0,0' drel='k2:कहना' name='यह' chunkId='NP' chunkType='head:NP' posn='10'>
2	कहना	VM	<fs af='कह,v,any,any,any,d,ना,nA' drel='k1:है' name='कहना' chunkId='VGNN' chunkType='head:VGNN' posn='20'>
3	है	VM	<fs af='है,v,any,sg,3,,है,hE' name='है' chunkId='VGF' chunkType='head:VGF' stype='declarative' voicetype='active' posn='30'>
4	उन	DEM	<fs af='वह,pn,any,pl,3,o,,' drel='nmod__adj:बच्चों' name='उन' chunkType='child:NP2' posn='40'>
5	बच्चों	NN	<fs af='बच्चा,n,m,pl,3,o,0_का,0' drel='k1:कहना' vpos='vib_3' name='बच्चों' chunkId='NP2' chunkType='head:NP2' posn='50'>
6	का	PSP	<fs af='का,psp,m,sg,,d,,' drel='lwg__psp:बच्चों' name='का' chunkType='child:NP2' posn='60'>
7	जो	PRP	<fs af='जो,pn,any,any,3,o,0,0' drel='k1:आए' name='जो' chunkId='NP3' chunkType='head:NP3' coref='NP2' posn='70'>
8	तीन	QC	<fs af='तीन,num,any,any,,any,,' drel='nmod__adj:हफ्ते' name='तीन' chunkType='child:NP4' posn='80'>
9	हफ्ते	NN	<fs af='हफ्ता,n,m,sg,3,o,0_के_लिए,0' drel='rt:आए' vpos='vib_3_4' name='हफ्ते' chunkId='NP4' chunkType='head:NP4' posn='90'>
10	के	PSP	<fs af='के,psp,,,,,,' drel='lwg__psp:हफ्ते' name='के' chunkType='child:NP4' posn='100'>
11	लिए	PSP	<fs af='लिए,psp,,,,,,' drel='lwg__psp:हफ्ते' name='लिए' chunkType='child:NP4' posn='110'>
12	अमन	NN	<fs af='अमन,n,m,sg,3,o,0,0' drel='ccof:और' name='अमन' chunkId='NP5' chunkType='head:NP5' posn='120'>
13	और	CC	<fs af='और,avy,,,,,,' drel='r6:संदेश' name='और' chunkId='CCP' chunkType='head:CCP' posn='130'>
14	शांति	NN	<fs af='शान्ति,n,f,sg,3,o,0_का,0' drel='ccof:और' vpos='vib_2' name='शांति' chunkId='NP6' chunkType='head:NP6' posn='140'>
15	का	PSP	<fs af='का,psp,m,sg,,d,,' drel='lwg__psp:शांति' name='का2' chunkType='child:NP6' posn='150'>
16	संदेश	NN	<fs af='संदेश,n,m,sg,3,d,0,0' drel='k2:लेकर' name='संदेश' chunkId='NP7' chunkType='head:NP7' posn='160'>
17	लेकर	VM	<fs af='ले,v,any,any,any,,कर,kara' drel='vmod:आए' name='लेकर' chunkId='VGNF' chunkType='head:VGNF' posn='170'>
18	भारत	NNP	<fs af='भारत,n,m,sg,3,d,0,0' drel='k2p:आए' name='भारत' chunkId='NP8' chunkType='head:NP8' posn='180'>
19	आए	VM	<fs af='आ,v,m,pl,3,,या_है,yA' drel='nmod__relc:बच्चों' vpos='tam_2' name='आए' chunkId='VGF2' chunkType='head:VGF2' stype='declarative' voicetype='active' posn='190'>
20	हैं	VAUX	<fs af='है,v,any,pl,3,,है,hE' drel='lwg__vaux:आए' name='हैं' chunkType='child:VGF2' posn='200'>
21	।	SYM	<fs af='।,punc,,,,,,' drel='rsym:है' name='।' chunkId='BLK' chunkType='head:BLK' posn='210'>
</Sentence>

<Sentence id='5'>
1	नौवीं	QO	<fs af='नौवा,num,f,sg,,o,,' drel='nmod__adj:कक्षा' name='नौवीं' chunkType='child:NP' posn='10'>
2	कक्षा	NN	<fs af='कक्षा,n,f,sg,3,o,0_में,0' drel='k7:पढ़' vpos='vib_3' name='कक्षा' chunkId='NP' chunkType='head:NP' posn='20'>
3	में	PSP	<fs af='में,psp,,,,,,' drel='lwg__psp:कक्षा' name='में' chunkType='child:NP' posn='30'>
4	पढ़	VM	<fs af='पढ़,v,any,sg,any,,0_रह+या,0' drel='nmod:शमा' vpos='tam_2' name='पढ़' chunkId='VGNF' chunkType='head:VGNF' posn='40'>
5	रही	VAUX	<fs af='रह,v,f,sg,any,,या,yA' drel='lwg__vaux:पढ़' name='रही' chunkType='child:VGNF' posn='50'>
6	शमा	NNP	<fs af='शमा,n,f,sg,3,o,0_ने,0' drel='k1:बताया' vpos='vib_2' name='शमा' chunkId='NP2' chunkType='head:NP2' posn='60'>
7	ने	PSP	<fs af='ने,psp,,,,,,' drel='lwg__psp:शमा' name='ने' chunkType='child:NP2' posn='70'>
8	बताया	VM	<fs af='बता,v,m,sg,any,,या,yA' name='बताया' chunkId='VGF' chunkType='head:VGF' stype='declarative' voicetype='active' posn='80'>
9	कि	CC	<fs af='कि,avy,,,,,,' drel='k2:बताया' name='कि' chunkId='CCP' chunkType='head:CCP' posn='90'>
10	पाकिस्तान	NNP	<fs af='पाकिस्तान,n,m,sg,3,o,0_में,0' drel='k7p:लिखा' vpos='vib_2' name='पाकिस्तान' chunkId='NP3' chunkType='head:NP3' posn='100'>
11	में	PSP	<fs af='में,psp,,,,,,' drel='lwg__psp:पाकिस्तान' name='में2' chunkType='child:NP3' posn='110'>
12	कक्षा	NN	<fs af='कक्षा,n,f,sg,3,d,0_का,0' drel='r6:उर्दू' vpos='vib_3' name='कक्षा2' chunkId='NP4' chunkType='head:NP4' posn='120'>
13	आठ	QC	<fs af='आठ,num,any,any,,o,,' drel='nmod__adj:कक्षा2' name='आठ' chunkType='child:NP4' posn='130'>
